date,study_id,run_id,model,kind,status,dataset_id,split,metric_name,metric_value,decision
2026-07-12,qwen25_post_training_legacy_v1,qwen25_sft_v4_hard_chatml_sft_val_firstjson_eval,outputs/merged-qwen25-7b-sft-v3-chatml,eval_generation,rejected,legacy_unversioned,unknown_not_recorded,mean_score,0.840700000,reject
2026-07-12,qwen25_post_training_legacy_v1,qwen25_sft_v5_mixed_hard_chatml_sft_val_firstjson_eval,outputs/merged-qwen25-7b-sft-v3-chatml,eval_generation,rejected,legacy_unversioned,unknown_not_recorded,mean_score,0.845700000,reject
2026-07-12,qwen25_post_training_legacy_v1,qwen25_trl_sft_lora_v4_hard_chatml,outputs/merged-qwen25-7b-sft-v3-chatml,train_sft_lora,rejected,legacy_unversioned,unknown_not_recorded,train_loss,1.594900000,reject
2026-07-12,qwen25_post_training_legacy_v1,qwen25_trl_sft_lora_v5_mixed_hard_chatml,outputs/merged-qwen25-7b-sft-v3-chatml,train_sft_lora,rejected,legacy_unversioned,unknown_not_recorded,train_loss,2.132400000,reject
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_grpo42_dev,runtime_probe_grpo42,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.811416361,screen_passed_replication_gate_failed
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_grpo42_dev3x,runtime_probe_grpo42_dev3x,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.811416361,supports_narrow_primary_growth_not_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_grpo43_dev3x,runtime_probe_grpo43_dev3x,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.830219780,supports_narrow_primary_growth_not_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_grpo44_dev3x,runtime_probe_grpo44_dev3x,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.771498779,reject_safe_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_runtime_probe_curriculum_v1,train,train_reward_mean,0.822647313,supports_narrow_primary_growth_not_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_seed43_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_runtime_probe_curriculum_v1,train,train_reward_mean,0.876918576,supports_narrow_primary_growth_not_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_seed44_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_runtime_probe_curriculum_v1,train,train_reward_mean,0.821741192,reject_safe_policy_promotion
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_sftv3_dev,sft_v3_strict,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.688894994,baseline
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_probe_curriculum_v2_sftv3_dev3x,runtime_probe_sftv3_dev3x,eval_generation_repeated,completed,planner_runtime_probe_curriculum_v1,dev,case_macro_mean_verifier_score,0.688894994,baseline
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_routing_v1_routegrpo_dev,route_grpo_v4,eval_generation_repeated,completed,planner_runtime_routing_v1,dev,step_mean_verifier_score,0.781666667,reject_fixed_candidate_gate
2026-07-13,planner_runtime_routing_grpo_v1,20260713_runtime_routing_v1_sftv3_dev,sft_v3,eval_generation_repeated,completed,planner_runtime_routing_v1,dev,step_mean_verifier_score,0.768611111,baseline
